Text,Label
according study novel coronavirus sarscov result experiements done lab located near market wuhan,fake
facebook status 2012 talked about spread coronavirus 2020,fake
years ago there hand sanitizer active against sarscov,fake
bill gates wrote letter saying covid teaching humans lesson,fake
link between covid being hidden,fake
coronavirus case uttar pradesh district india,fake
chinese swat team takes down coronavirus suspect,fake
there are two coronavirus cases bovalino reggio calabria italy,fake
coronavirus santegidio abruzzo italy,fake
coronavirus parabiago nerviano lombardia italy,fake
coronavirus present bosch company bari puglia because chinese people visited week before,fake
book koontz eyes darkness predicted covid 1981,fake
nostradamus predicted coronavirus,fake
1981 book predicted coronavirus outbreak,fake
radio host rush limbaugh compares novel coronavirus common cold,fake
coronavirus common cold folks,fake
video says president donald trump spawned wuhan super virus outbreak under code name zyphr,fake
coronavirus found horses,fake
indian government who advised people not purchase colors china holi,fake
china needs coronavirus swat special weapons tactics police teams arrest this coronavirus victim,fake
poland people who are not insured have pay coronavirus testing they can afford they will spread,fake
bats hide under wuhan rooftops caused covid outbreak,fake
video road traffic control china detect people infected coronavirus,fake
bats hide under wuhan rooftops caused covid outbreak,fake
coronavirus bioweapon leaked wuhan lab,fake
coronavirus patients are being cremated alive china,fake
evidence indicates covid escaped chinese lab researching causing outbreak,fake
mortality rate flu right around new coronavirus,fake
president trump claims virus under control testing available,fake
china took advantage coronavirus crisis buy back stocks its technology companies belonging foreign investors,fake
useful close borders stop outbreak,fake
italian red cross gives recipe making amuchina hand sanitizer home,fake
letter uncle wuhan claims covid can cured hot water,fake
man allegedly selling medical masks denars bus owned skopje public transportation enterprise,fake
letters packages sent china can cause coronavirus infection,fake
face masks are good protection against coronavirus,fake
new coronavirus registered 2004,fake
school has been suspended catalonia until,fake
new cases coronavirus madrid are linked two universities club,fake
two cases are confirmed coronavirus huelva andaluc,fake
monkey has been infected coronavirus this photo,fake
cdc issued facial hair recommendation novel coronavirus prevention,fake
post say hair weave lace fronts manufactured china may contain coronavirus,fake
hair weaves lace front wigs made china likely contain coronavirus,fake
post says hair weave lace fronts manufactured china may contain coronavirus,fake
coronavirus,fake
cdc recommends men shave their beards protect against coronavirus,fake
cocaine kills coronavirus,fake
hair weave lace fronts manufactured china may contain coronavirus,fake
health authorities say shaving beard protects covid,fake
chloroquine cures covid,fake
french far right leader marine pen says didn act against outbreak,fake
who says coronavirus might spread food,fake
who has issued alert against buying holy colors china,fake
video accompanying claim shows bodies being removed hospital iran during novel coronavirus pandemic,fake
video shows chinese officials detaining infected citizen who refused tested,fake
lithuanian doctor gives advice those potentially infected coronavirus,fake
monkey been infected coronavirus this photo,fake
lectures have been suspended university sevilla due coronavirus,fake
there new case covid saced spain,fake
pais said there possible case coronavirus hospital gregorio mara spain,fake
article pais says there case coronavirus school architecture madrid,fake
first case coronavirus alcal henares madrid,fake
brothel customers quarantined after prostitute tested positive coronavirus,fake
sevilla university has suspended classes because coronavirus,fake
gerardo dovakin found vaccine against coronavirus,fake
book published 1981 said 2020 severe pneumonialike illness would spread across world calling wuhan400,fake
each side protective surgical masks has different functions indicated colour you should choose way you wear whether you are ill not,fake
lysol products can kill novel coronavirus,fake
blood test coronavirus costs 200,fake
america has been vaccinating cattle coronavirus years yet news tells you new going kill you all buy mask,fake
starting march you travel outside united states you won allowed back country due high risk coronavirus,fake
akira 1988 movie about apocalyptic event taking place months before tokyo 2020 olympics showing who advising japan postpone olympics because pandemic risk,fake
beef meat best vaccine against covid,fake
chinese police use fishing net arrest man high fever,fake
covid just big flu,fake
best shave your beard avoid being infected coronavirus,fake
german government made secret plan about coronavirus 2012 foretold pandemic,fake
tips against coronavirus like holding your breath drinking water,fake
coronavirus patients china are caught officials highway,fake
coronavirus patients china are caught officials highway,fake
video chaos shop claims people are panicking after first confirmed case coronavirus lithuania,fake
summer temperatures will make coronavirus disappear,fake
spanish newspaper abc reports there are two possible covid cases gines benecaz seville spain,fake
man gas mask supermarket lugo galicia spain,fake
wife chinese shop owner totana murcia spain has coronavirus,fake
authorities should implement temperature tests travelers china,fake
video person infected coronavirus being detained police,fake
barcelona council issued notification new focus two neighborhoods,fake
wife chinese shop owner totana murcia spain has coronavirus,fake
clients brothel spanish city valencia are quarantined after one their employees tested positive coronavirus,fake
man gas mask supermarket lugo galicia spain,fake
election years united states coincide major disease outbreaks,fake
florida man arrested robbery using cough weapon,fake
poll finds americans say they will not drink corona beer because virus,fake
coronavirus has made mississippi lady caught wasn around anybody which means airborne wind blows your direction you have also,fake
every election year has disease sars 2004 avian flu 2008 swine flu 2010 mers 2012 ebola 2014 2018 zika 2016 coronavirus 2020,fake
germany gave medical protection equipment like masks china now missing germany,fake
coronavirus more dangerous animals than humans,fake
video shows people storming aldi supermarket buy groceries because coronavirus fear,fake
this virus must old because label bottle disinfectant 2015 shows coronavirus,fake
russia announces closure airspace suspends all incoming outgoing flights china,fake
garlic water can treat coronavirus,fake
pangolin original cause covid,fake
doctors recommend carbon filter face masks prevent coronavirus spread,fake
video says vatican confirmed pope francis two aides tested positive coronavirus,fake
president barack obama waited six months call swine flu emergency after thousands died,fake
cdc recommends men shave their beards protected against new coronavirus,fake
bill gates working electronic chip implant under human skin order locate control people,fake
facemasks prevent coronavirus infection,fake
alkaline diet can prevent coronavirus infection,fake
pope francis two aides tested positive coronavirus,fake
florida hospital reports coronavirus infestation multiple confirmed patients,fake
photo shows man wearing government issued saint laurent hazardous materials suit,fake
shands hospital gainesville florida has confirmed its first case coronavirus,fake
post says one has died coronavirus united states,fake
coronavirus simply common cold,fake
oklahoma police planning set roadblocks enforce mandatory covid vaccination law slap microchipped bracelets people,fake
plantbased cure coronavirus discovered iran,fake
disinfectant gel causes cancer,fake
man critical novel coronavirus barhalganj india,fake
alcohol kills coronavirus,fake
outbreak covid worldwide fake fatality rate too low epidemic who admitted causing sars outbreak 2003,fake
ambulance health care workers are transporting coronavirus patient hague netherlands dressed white protective suits,fake
ministry health spain issues advice about coronavirus outbreak,fake
000 people elche spain are infected coronavirus after coming back milan international footwear industry fair,fake
united states actually screening fewer people coronavirus than other countries because don have appropriate testing,fake
bovine coronavirus vaccine cattle proof novel coronavirus isn new evidence how much media controls people,fake
journalist claims coronavirus patient murdered,fake
vice president pence urged people coronavirus police,fake
post says sanitizer will nothing coronavirus,fake
post says two patients valley regional medical center brownsville texas are being looked possible coronavirus infections,fake
senator lindsey graham says president trump probably knows more about medicine specifically viruses than any called scientists nih cdc,fake
coronavirus hoax,fake
people queue outside aldi supermarket germany buy food fear new coronavirus,fake
photos show indians bathing cow dung prevent infection,fake
images bjp men smearing cow dung one another after their party leader suman haripriya said cow dung may help cure coronavirus,fake
this video shows dead coronavirus victims amassed bergamo brescia hospital,fake
video claims health system collapsing north macedonia,fake
cdc recommends men shave their beards protected against new coronavirus,fake
you can get infected kissing hands virgin saint statue,fake
drink warm water gargle every minutes rinse new coronavirus down,fake
ads are selling masks protecting against covid,fake
image shows senate minority leader chuck schumer criticizing president trump restrictions foreign nationals traveling china,fake
government specific states such michigan florida has mandated employers schools close two weeks,fake
pope francis his two aides have been infected new coronavirus,fake
bovine vaccine can used inoculate people against coronavirus,fake
patents mean deadly diseases viruses were created invented lab,fake
bloggers say vatican reports pope francis tested negative coronavirus before second test came back positive,fake
video shows president donald trump saying covid democrats new hoax,fake
vitamin prevents coronavirus,fake
first dog infected coronavirus,fake
coronavirus bioweapon usa says german politician wolfgang gedeon parliament speech,fake
cow dung cow urine can cure coronavirus,fake
consuming large doses vitamin can stop spread coronavirus,fake
european health organization eho announced eating beef can cure coronavirus,fake
rapper eminem contacted coronavirus,fake
first coronavirus case north macedonia wellknown fashion designer,fake
new coronavirus registered 2018,fake
dog quarantined hong kong after testing positive new coronavirus,fake
garlic onions other traditional medicine recipes are treatments against new coronavirus,fake
regard cost let very clear,fake
common cold only type coronavirus,fake
officials say coronavirus killed 200 iran,fake
man visited albany days before dying coronavirus,fake
state florida has announced measures all workplaces employees more are have paid mandatory leave avoid spread covid coronavirus starting march 2020 all schools are close weeks also march,fake
media pulled down entire shelf goods they can present news people buying stuff hysteria over coronavirus,fake
obama administration made decision testing turned out very detrimental what doing coronavirus,fake
obama administration didn anything about swine flu,fake
trump effort blame obama sluggish coronavirus testing,fake
medical book states coronavirus just common cold,fake
does france underestimate outbreak,fake
confidential governmental document proves government has decided postpone local elections france because outbreak,fake
there connection between covid,fake
unicef recommendations,fake
shaheen bagh protest india claimed have coronavirus,fake
runny nose coughing sputum are not symptoms covid,fake
precautionary measures suggested unicef,fake
who has issued alert against buying holy colors china,fake
precautionary measures suggested unicef,fake
post says there movie predicted pandemic called coronavirus,fake
article says vatican confirmed pope two assistants have coronavirus,fake
patent being shared claim covid old,fake
work several regions spain due coronavirus,fake
clients brothel quarantine after prostituted tested positive coronavirus,fake
vitamin miracle cure novel coronavirus,fake
shanghai government officially recommends vitamin covid,fake
donating plasma blood free testing coronavirus,fake
novel coronavirus has survival rate,fake
coronavirus test costs 200,fake
every election year has disease coronavirus has contagion factor cure rate those under infects,fake
coronavirus outbreak caused technology,fake
president donald trump tweeted coronavirus vaccine israel stock market economy even stronger now besides israel best inventions,fake
homeopathic product oscillococcinum protects against covid,fake
americans won buy corona beer due coronavirus,fake
people who died after being infected novel coronavirus can receive any mortuary care,fake
pope francis contacted coronavirus,fake
chinese president jinping visited muslims understand why they are not contracting covid,fake
aaj tak channel aired program said drinking alcohol smoking weed can cure covid,fake
girl infected coronavirus found dead her apartment delhi,fake
increasing border controls will stop coronavirus spreading,fake
holding your breath 10sec can determine you have covid you should drink water every minutes,fake
medical center cachorro sevilla closed due possible coronavirus infected person,fake
medical report hospital general universitario santa luc cartagena murcia person possible coronavirus,fake
designed virus ordered laboratories christine lagarde when she imf she said old people live too long this risk global economy must something urgently,fake
whatsapp message suggests holding your breath seconds drinking water every minutes will fight coronavirus,fake
whatsapp message suggests holding your breath seconds drinking water every minutes will fight coronavirus,fake
bloggers say nancy pelosi delayed coronavirus funding dems could campaign,fake
mayor buffalo told people evacuate due coronavirus outbreak,fake
cdc sponsored facebook post asking help escaped coronavirus patient,fake
coronavirus gets your mouth drinking water other liquids will wash them down through your esophagus into stomach once there your stomach acid will kill all virus,fake
anybody wants test coronavirus can get test,fake
people can use right withdrawal work because outbreak,fake
did coronavirus mutate became more aggressive,fake
telangana ministry india distributed homeopathic tablets claiming prevent covid,fake
coronavirus patients are being caught highways china,fake
cocaine cures covid,fake
vietnam first country contain develop quick test sars covid,fake
consuming colloidal silver can prevent treat novel coronavirus,fake
tanzania zambia had confirmed fist cases new coronavirus,fake
facebook post shared 000 times features image letter purportedly hospital recommending people drink alcohol help reduce risks novel coronavirus infection,fake
more people have died knowing hillary clinton than coronavirus,fake
hospitals are preparing million coronavirus infections nearly half million deaths leaked documents reveal,fake
elderberry syrup protects against coronavirus,fake
accelerating spread new coronavirus,fake
italian doctor who worked shenzhen hospital china issued series instuctions locating treating new coronavirus sarscov,fake
post has been shared facebook twitter whatsapp claims regional government india has recommended juice bitter gourd vegetable often used traditional medicine effective treatment novel coronavirus,fake
hot air application through hairdryer face heat nostrils sinus kills novel coronavirus,fake
states are imposing mandatory leave statewise school closures due coronavirus,fake
danish politician says greta thunberg gets special treatment european parliament she despite current outbreak allowed speak,fake
french health minister underestimated risk contamination france,fake
second version coronavirus spreading far more dangerous,fake
hundreds italian families are running away virus africa,fake
this laboratory giving money people who would agree infected novel coronavirus,fake
headline newspaper phrase bolivian chancellor about coronavirus,fake
people muslim community have prohibited visiting mecca medina avoid outbreak coronavirus but people sanatan religion are playing holi crematorium kashi vishwanath pyre,fake
video shows reciting namaaz quran only treatment covid,fake
unicef advises certain set steps follow coronavirus,fake
aaj tak news report chinese prime minister said reading quran offering namaz only cure covid,fake
availability kit coronavirus selfdiagnosis,fake
availability kit coronavirus selfdiagnosis,fake
availability kit coronavirus selfdiagnosis italy,fake
kit coronavirus selfdiagnosis available,fake
covid can killed over degrees celsius,fake
mayor skopje shilegov returned madrid three days ago government passed decree requiring all passengers spain tested coronavirus placed day quarantine,fake
gang madrid pretending doctors steal people houses,fake
bill coronavirus test 000,fake
viral claims propagating unicef message about coronavirus,fake
coronavirus caused mysterious vaccine activation distributed china chemtrails activated,fake
evau exam postponed june madrid,fake
spanish actress cristina pedroche has promised show breast number coronavirus infections reaches 000 spain,fake
this lysol disinfectant against coronavirus shows virus not new,fake
doctor named lupita yamamoto lupercio found coronavirus vaccine,fake
madrid government has announced students will have make classes during summer,fake
post says president trump has come into contact potential coronavirus sufferer,fake
says novel coronavirus cases are mild,fake
donating blood can get you novel coronavirus test,fake
hand sanitizer will nothing coronavirus,fake
freshly boiled garlic water cure coronavirus,fake
department homeland security official says illegal border crossings may spread coronavirus,fake
nyc man suspected coronavirus drops dead middle street,fake
post says being exposed sun two hours kills 2019 coronavirus,fake
former president barack obama set antipandemic programs vulnerable countries way protect against something like coronavirus you know trump closed them,fake
coronavirus clintons,fake
flu vaccine does not increase risk coronavirus infection,fake
antibiotic azitromycin cures covid,fake
holding your breath effective way selfdiagnose covid,fake
coronavirus actually chemtrail lungs,fake
americans have pay 000 000 day containment,fake
drinking hot tea can prevent coronavirus infection,fake
senegalese president government appears masks during press conference,fake
senegalese president government appears masks during press conference,fake
you can kill coronavirus drinking hot drinks,fake
first patient healed algeria,fake
while everybody busy coronavirus authorities rlitz germany secretly brought asylum seekers into city,fake
vitamin kills viruses,fake
tips against coronavirus like holding your breath drinking water,fake
tips against coronavirus include holding your breath drinking water,fake
video where woman dressed like chef prepares food only one glove she blows protections video would have been shot africa during covid pandemic,fake
italian department civil protection has communicated biocontainment bsl can introduced,fake
italian ministry interior ruled public statement police will check all people they exit their houses,fake
200 new cases covid registered lithuania people are cleansed bleach vilnius international airport taken small tenttown nearby,fake
macedonian coronavirus patient director skin clinic wedding secretary general social democratic union macedonia,fake
fake coronavirus pandemic cover disease,fake
unicef advises not eat ice cream because reinforces infection new coronavirus,fake
thieves palma spain are pretending doctors steal people houses,fake
gang vitoria pretending doctors steal people houses,fake
vitamin warm water lemon are effective ways preventing covid,fake
head coordinated emergences fernando simon has said better get coronavirus now because later there will space hospitals,fake
madrid government has announced students will have make classes during summer,fake
public broadcast rtve published map coronavirus cases spain fact map penis average size different regions,fake
classes were canceled basque country because coronavirus,fake
regional government castilla mancha announced twitter closing schools until april,fake
spanish education minister isabel cela wore purple latex gloves women day demonstration because she afraid coronavirus,fake
madrid mayor manuel carmena has coronavirus,fake
audio whatsapp which head cardiology gregorio mara hospital states are moment uncontrolled coronavirus infection,fake
galicia suspended classes because coronavirus,fake
empty supermarket madrid after measures announced against coronavirus,fake
manuela carmena mayor madrid got infected coronavirus,fake
thieves madrid are pretending doctors steal people houses,fake
holding your breath 10sec can determine you have covid you should drink water every minutes,fake
madrid government has announced students will have make classes during summer,fake
madrid government has announced students will have make classes during summer,fake
holding your breath seconds can determine you have covid you should drink water every minutes,fake
coronavirus vaccine cows shows virus behind current outbreak not new,fake
post says harvard scientists say coronavirus spreading fast will infect humanity this year,fake
every election year has disease outbreak,fake
000 deaths virus outbreak michigan washington idaho north dakota missouri mississippi,fake
tweet says daniel radcliffe has coronavirus,fake
you can monitor yourself covid breath test,fake
does mexico have confirmed cases covid,fake
holding your breath seconds can determine you have covid drink water every minutes,fake
marijuana cure coronavirus,fake
why dangerous make your own hand sanitizer home,fake
hold your breath seconds check you are infected novel coronavirus,fake
racist scene against chinese people metro belgium,fake
demonstrations against chinese people italy,fake
racist scene against chinese people metro belgium,fake
panic scene germany people rushing into supermarket,fake
demonstrations against chinese people italy,fake
racist scene against chinese people metro belgium,fake
your nose running you don have covid virus dies degrees celsius thererfore you should drink hot water tea most common way get infected touch surfaces every normal mask can filter virus because very big,fake
more deaths covid israeli scientists have discovered vaccine,fake
china supplying quran people read after coronavirus outbreak,fake
japanese doctors claim drinking water every minutes prevents covid,fake
muslim people china seeking refuge islam reading quran save themselves covid,fake
antimalaria drug chloroquine cure coronavirus,fake
aiims indian medical institute team has said toddy has medicinal properties cure coronavirus,fake
arsenic album homeopathic medicine can prevent coronavirus information given ministry ayush,fake
coronavirus dies temperature above degrees celsius per unicef,fake
indian yoga guru baba ramdev has been infected coronavirus,fake
retirement benefits reduced april italy,fake
president vucic claims one said coronavirus funniest virus,fake
malaga closes nurseries due coronavirus,fake
neuroscientist rodolfo llin says you can last seconds without coughing without discomfort means there fibrosis lungs therefore coronavirus infection,fake
seven ambulance workers are infected coronavirus catalonia,fake
pedro nchez has medical team people take care him since coronavirus crisis,fake
madrid going close its borders due coronavirus,fake
neuroscientist rodolfo llin says you can last seconds without coughing without discomfort means there fibrosis lungs therefore coronavirus infection,fake
audio whatsapp which head cardiology gregorio mara hospital states are moment uncontrolled coronavirus infection,fake
coronavirus found toilet paper,fake
gargling salt water vinegar will kill virus,fake
nyc man drops dead middle street suspected coronavirus,fake
health insurance industry has agreed waive all payments coronavirus treatments,fake
msnbc actually said air hope enough people die coronavirus harms trump election,fake
drinking water which garlic boiled will cure you covid,fake
you can hold your breath seconds then you don have fibrosis therefore infection picture text english describing method,fake
oms staff member spreading coronavirus purpose,fake
researchers taiwan provided series checks can perform ourselves form selfdiagnosis new coronavirus every morning,fake
turmeric lemon can cure coronavirus,fake
saint luke hospital usa says consuming alcohol can reduce risk covid,fake
news channels suggest drinking tulsi noni juice will help prevent novel coronavirus,fake
consuming onion salt followed glass water can cure coronavirus,fake
most countries affected covid are along same degree north latitude,fake
indian president ramnath kovind pouring gaumutra cow urine globe prevent coronavirus,fake
worker prince hotel mehdipatnam hyderbad india has tested positive coronavirus,fake
drinking water every minutes will protect you getting coronavirus,fake
you can check coronavirus holding your breath seconds,fake
elderly people are left die italian hospital near milan,fake
airports train stations lithuania are being closed down,fake
covid cured hot water baking soda,fake
doctor north macedonia states new coronavirus outbreak conspiracy against humanity conspiracy pharmaceutical industry profit new coronavirus not dangerous,fake
iranians have published report saying coronavirus biological warfare,fake
prime minister ana brnabic claimed number respirators state secret all countries,fake
viral audio whatsapp which doctor hospital fundaci jimnez madrid claims there are two young patients very bad condition because coronavirus there are more respirators intensive care units,fake
zamora has canceled holy week due coronavirus,fake
catalonia valencia aragon cancel classes schools colleges universities because coronavirus outbreak,fake
tuit reports brazilian president jair bolsonaro has tested positive coronavirus,fake
audio whatsapp says there are doctor two nurses hospitalized icu terrassa barcelona,fake
china has announced success egyptian serum form hala health minister egypt against coronavirus,fake
podemos spokesman pablo echenique not intensive care after getting infected covid,fake
education ministry announces all students are passing actual course without making exams because coronavirus,fake
private health insurance public workers does not cover expenses related coronavirus,fake
spain king juan carlos has coronavirus,fake
live stream about infected foreigners coming ukraine italy which went viral,fake
new coronavirus dies when temperature around degrees celsius,fake
new coronavirus dies temperature about degrees celsius,fake
drinking alcohol smoking helps preventing new coronavirus infecting organism,fake
trump administration european travel restrictions exempt,fake
donald trump claims joe biden charge h1n1 swine flu epidemic which killed thousands people response one worst record our response one best fast action border closings approval rating highest record his lowest,fake
during 2009 swine flu outbreak biden made reckless comments unsupported science experts obama admin had clean his mess apologize his ineptitude,fake
presidential election canceled due coronavirus,fake
australian hospital staff rolled wilson volleyball keep tom hanks company quarantine,fake
former controversial cia officer said coronavirus made lab,fake
says tom hanks has volleyball keep him company while quarantined,fake
you donate blood they have test you coronavirus,fake
says nancy pelosi caught trying include abortion funding bill combat coronavirus,fake
2007 simpsons predicted tom hanks would contract coronavirus 2007,fake
cdc can detain anyone fever indefinitely vaccination way people could get out detention,fake
covid came united states 2019,fake
image showing italian doctors exhausted sleeping,fake
propolis cures covid,fake
secret invasion 000 american troops immune covid ongoing europe,fake
covid humanmade american biological weapon,fake
croatian president tells people buy bulk least weeks,fake
get disease now gain immunity infograph mimicking official information,fake
denmark has more coronavirus cases per capita than china,fake
coronavirus outbreak over china,fake
photo shows full vegan supermarket shelves next empty ones caption saying even time coronavirus one wants eat vegan,fake
after closure schools france president emmanuel macron announced classes next summer catch,fake
people are panicked about covid case dakar airport,fake
saddam hussein explaining what coronavirus about,fake
saddam hussein explaining what coronavirus about,fake
picture shows mecca totally empty,fake
saddam hussein explains what coronavirus about,fake
can neutralise new coronavirus sarscov exposing ourselves sun drinking hot beverages use mask not effective virus itself threat our life only are part high risk group,fake
greek government parliament knew about new coronavirus pandemic before occured thus summer 2019 rushed make new penal codes instructions regarding protective measures case disease outbreak official,fake
books predicted coronavirus before happened,fake
viral message listing false unrelated statements about coronavirus has falsely been attributed united nations international children emergency fund unicef,fake
aajtak news channel claims consuming herbal plant tulsi will cure coronavirus,fake
india announced holidays four states,fake
israel usa have come vaccine,fake
indian ministry health family welfare issued office memorandum declaring compulsory holiday four indian states,fake
israel has manufactured coronavirus vaccine,fake
central government has announced blanket holiday schoolscolleges states india,fake
covid breeds rapidly toilet paper,fake
staff gold coast hospital australia has gifted volleyball tom hanks quarantine,fake
health service ireland asking people stockpile food,fake
ireland going into status red lockdown military patrolling streets,fake
photo claimed lithuanian town mazeikiai being cut off rest country due outbreak covid,fake
facebook post claimed message stanford hospital gives advice drink water every minutes order prevent covid,fake
image claims hundreds infected people are hidden lithuanian hospitals were taken crematoriums,fake
advice about coronavirus prevention remedies allegedly stanford hospital,fake
article about italian doctor working china gives advice avoiding infection,fake
post says you hold your breath you can tell you are infected covid not,fake
they are not looking volunteers infected covid british laboratories 000 euros,fake
spanish ministry interior closing off madrid,fake
drinking hot beverages prevents coronavirus infection,fake
audio whatsapp says there are doctor two nurses hospitalized icu terrassa barcelona,fake
film coronavirus predicted current pandemic,fake
audio whatsapp says there are doctor two nurses hospitalized icu terrassa barcelona,fake
sex helps prevent coronavirus,fake
post shared more than 165000 times facebook includes video woman turning baby wipe into face mask protect against coronavirus,fake
president trump covid coronavirus,fake
misleading chart being spread facebook erroneously dubbing new coronavirus least deadly virus,fake
coronavirus scare began after impeachment,fake
supermarkets are recalling coronavirusinfected toilet paper,fake
man did pass along coronavirus infection walmart louisiana,fake
nyc did implement citywide quarantine,fake
actually safest time fly,fake
drinking water lot gargling warm water salt vinegar eliminates coronavirus,fake
south florida all children adults must remain their homes due coronavirus,fake
says new york times exposed real reason behind coronavirus hype,fake
corporations invented coronavirus,fake
check list symptoms covid regular flu seasonal cold photo comparing symptoms covid regular flu seasonal cold who given source,fake
quotes finnish national health authorities between january march are taken out context,fake
000 soldiers are entering while everybody busy coronavirus soldiers are immune,fake
university hospital vienna found out ibuprofen speeds spreading coronavirus,fake
drinking lots water gargling warm water salt vinegar eliminates novel coronavirus spread information you can save someone,fake
eating salt onion will eliminate coronavirus,fake
after husband tested positive coronavirus wife fled bangalore agra india,fake
multiple facebook twitter posts shared hundreds times claim world health organization who reported vegetarian has contracted novel coronavirus,fake
ireland going into full lockdown,fake
leaving half onion your home will catch coronavirus prevent people getting,fake
american soldier has been paid spread covid europe,fake
photo claims military vehicles are combating covid palermo italy,fake
